index;carat;cut;color;clarity;depth;table;price;x;y;z
1;0.22;Premium;H;VVS1;114.6;64.4;391.0;5.54;3.59;5.23
2;0.25;Very Good;H;VS2;52.4;60.3;417.0;5.01;3.58;2.25
3;0.2;Ideal;G;VS1;93.6;55.4;514.0;6.8;4.5;5.29
4;0.2;Ideal;F;VVS2;48.5;64.3;418.0;3.61;7.98;2.81
5;0.35;Very Good;I;VS1;99.6;57.3;908.0;3.28;6.98;5.11
6;0.54;Ideal;G;VVS2;112.5;59.4;2088.0;3.06;4.28;4.13
7;0.2;Good;I;SI2;66.5;60.5;300.0;6.71;6.86;4.51
8;0.67;Ideal;J;VVS2;35.3;57.3;2410.0;6.8;3.46;1.81
9;0.38;Very Good;E;SI1;74.4;54.6;649.0;3.04;6.13;3.41
10;0.2;Good;G;VS1;75.0;60.5;484.0;3.87;4.0;2.95
11;0.24;Good;G;VS1;125.7;62.5;724.0;4.05;4.29;5.24
12;0.2;Premium;D;VS2;45.4;59.3;300.0;6.68;6.13;2.91
13;0.2;Premium;J;IF;68.8;54.7;300.0;4.77;6.92;4.02
14;0.46;Fair;F;VVS2;53.8;61.7;1125.0;7.37;7.5;4.0
15;1.01;Ideal;I;VS1;53.0;53.4;4283.0;6.42;3.8;2.71
16;0.2;Premium;F;VS1;62.3;59.0;631.0;3.7;7.48;3.48
17;0.2;Ideal;E;SI1;76.4;55.2;511.0;6.44;3.25;3.7
18;0.28;Ideal;E;SI1;136.5;61.8;736.0;4.06;3.63;5.25
19;0.39;Good;G;VS2;73.6;55.4;781.0;6.63;6.22;4.73
20;0.2;Premium;G;SI2;55.3;57.3;492.0;6.76;7.49;3.94
21;0.35;Premium;F;SI2;128.4;53.1;883.0;3.66;3.66;4.7
22;0.22;Premium;E;VVS1;109.1;59.3;483.0;5.27;3.84;4.97
23;0.2;Ideal;G;IF;72.7;58.1;456.0;4.27;4.7;3.26
24;0.2;Fair;G;VS2;93.0;56.5;300.0;3.04;7.22;4.77
25;0.2;Premium;I;VS2;91.3;57.5;509.0;5.35;6.21;5.28
26;1.55;Premium;F;VS2;77.3;53.6;8205.0;4.22;6.72;4.23
27;0.22;Very Good;G;VS1;57.6;61.8;300.0;6.79;3.6;2.99
28;0.26;Very Good;I;VS2;80.5;63.4;472.0;5.77;5.09;4.37
29;0.4;Ideal;G;VVS2;91.6;59.6;1338.0;3.38;5.79;4.2
30;0.23;Good;E;VVS2;36.3;64.1;435.0;6.86;6.31;2.39
31;0.73;Premium;H;VS1;92.8;57.1;2996.0;4.23;5.77;4.64
32;0.49;Premium;G;IF;54.0;63.1;2084.0;7.04;5.04;3.26
33;0.2;Very Good;G;SI2;48.0;53.6;300.0;7.43;4.85;2.95
34;0.2;Premium;G;VVS1;90.7;63.6;300.0;6.88;3.68;4.79
35;0.92;Premium;F;VS2;72.3;55.4;3795.0;5.42;7.77;4.77
